2025-09-22 09:22:04 [LogHelper] Upload all log and delete
2025-09-22 09:22:30 [MusicDownloader] 🎧 Đang tải file 1/480: 0%
2025-09-22 09:22:31 [MusicDownloader] 🎧 Đang tải file 1/480: 5%
2025-09-22 09:22:31 [MusicDownloader] 🎧 Đang tải file 1/480: 10%
2025-09-22 09:22:31 [MusicDownloader] 🎧 Đang tải file 1/480: 15%
2025-09-22 09:22:32 [MusicDownloader] 🎧 Đang tải file 1/480: 20%
2025-09-22 09:22:32 [MusicDownloader] 🎧 Đang tải file 1/480: 25%
2025-09-22 09:22:32 [MusicDownloader] 🎧 Đang tải file 1/480: 30%
2025-09-22 09:22:33 [MusicDownloader] 🎧 Đang tải file 1/480: 35%
2025-09-22 09:22:33 [MusicDownloader] 🎧 Đang tải file 1/480: 40%
2025-09-22 09:22:33 [MusicDownloader] 🎧 Đang tải file 1/480: 45%
2025-09-22 09:22:34 [MusicDownloader] 🎧 Đang tải file 1/480: 50%
2025-09-22 09:22:34 [MusicDownloader] 🎧 Đang tải file 1/480: 55%
2025-09-22 09:22:34 [MusicDownloader] 🎧 Đang tải file 1/480: 60%
2025-09-22 09:22:35 [MusicDownloader] 🎧 Đang tải file 1/480: 65%
2025-09-22 09:22:35 [MusicDownloader] 🎧 Đang tải file 1/480: 70%
2025-09-22 09:22:35 [MusicDownloader] 🎧 Đang tải file 1/480: 75%
2025-09-22 09:22:36 [MusicDownloader] 🎧 Đang tải file 1/480: 80%
2025-09-22 09:22:36 [MusicDownloader] 🎧 Đang tải file 1/480: 85%
2025-09-22 09:22:36 [MusicDownloader] 🎧 Đang tải file 1/480: 90%
2025-09-22 09:22:36 [MusicDownloader] 🎧 Đang tải file 1/480: 95%
2025-09-22 09:22:37 [MusicDownloader] 🎧 Đang tải file 1/480: 100%
2025-09-22 09:22:37 [MusicDownloader] ⬇️ Đã tải xong: _Co_Be_Mua_ong.mp3
2025-09-22 09:22:37 [MusicDownloader] 🎧 Đang tải file 2/480: 0%
2025-09-22 09:22:38 [MusicDownloader] 🎧 Đang tải file 2/480: 5%
2025-09-22 09:22:38 [MusicDownloader] 🎧 Đang tải file 2/480: 10%
2025-09-22 09:22:38 [MusicDownloader] 🎧 Đang tải file 2/480: 15%
2025-09-22 09:22:39 [MusicDownloader] 🎧 Đang tải file 2/480: 20%
2025-09-22 09:22:39 [MusicDownloader] 🎧 Đang tải file 2/480: 25%
2025-09-22 09:22:39 [MusicDownloader] 🎧 Đang tải file 2/480: 30%
2025-09-22 09:22:39 [MusicDownloader] 🎧 Đang tải file 2/480: 35%
2025-09-22 09:22:40 [MusicDownloader] 🎧 Đang tải file 2/480: 40%
2025-09-22 09:22:40 [MusicDownloader] 🎧 Đang tải file 2/480: 45%
2025-09-22 09:22:40 [MusicDownloader] 🎧 Đang tải file 2/480: 50%
2025-09-22 09:22:41 [MusicDownloader] 🎧 Đang tải file 2/480: 55%
2025-09-22 09:22:41 [MusicDownloader] 🎧 Đang tải file 2/480: 60%
2025-09-22 09:22:41 [MusicDownloader] 🎧 Đang tải file 2/480: 65%
2025-09-22 09:22:41 [MusicDownloader] 🎧 Đang tải file 2/480: 70%
2025-09-22 09:22:42 [MusicDownloader] 🎧 Đang tải file 2/480: 75%
2025-09-22 09:22:42 [MusicDownloader] 🎧 Đang tải file 2/480: 80%
2025-09-22 09:22:42 [MusicDownloader] 🎧 Đang tải file 2/480: 85%
2025-09-22 09:22:42 [MusicDownloader] 🎧 Đang tải file 2/480: 90%
2025-09-22 09:22:43 [MusicDownloader] 🎧 Đang tải file 2/480: 95%
